trial_id,config_id,k_margin,base_accuracy,steps,voting_correct,single_correct,total_samples,converged,elapsed_ms
177,k2_live,2,0,1,true,true,2,true,594
178,k2_live,2,0,1,false,false,2,true,520
179,k2_live,2,0,1,false,false,2,true,656
180,k2_live,2,0,1,true,true,2,true,683
181,k2_live,2,0,1,false,false,4,true,1261
182,k2_live,2,0,1,false,false,2,true,611
183,k2_live,2,0,1,false,false,2,true,586
184,k2_live,2,0,1,true,false,15,true,4283
185,k2_live,2,0,1,true,false,6,true,1811
186,k2_live,2,0,1,false,false,20,false,5732
187,k2_live,2,0,1,false,false,2,true,591
188,k2_live,2,0,1,false,false,2,true,615
189,k2_live,2,0,1,true,true,2,true,567
190,k2_live,2,0,1,false,false,2,true,533
191,k2_live,2,0,1,false,false,16,true,5055
192,k2_live,2,0,1,true,true,2,true,717
193,k2_live,2,0,1,false,false,5,true,1560
194,k2_live,2,0,1,false,false,9,true,2868
195,k2_live,2,0,1,false,false,2,true,599
196,k2_live,2,0,1,false,false,20,false,6421
197,k2_live,2,0,1,true,false,2,true,604
198,k2_live,2,0,1,false,false,11,true,3378
199,k2_live,2,0,1,false,false,2,true,590
200,k2_live,2,0,1,false,false,2,true,567
201,k2_live,2,0,1,true,true,2,true,578
202,k2_live,2,0,1,false,false,2,true,590
203,k2_live,2,0,1,false,false,2,true,570
204,k2_live,2,0,1,true,true,2,true,559
205,k2_live,2,0,1,false,false,2,true,579
206,k2_live,2,0,1,false,false,5,true,1404
207,k2_live,2,0,1,false,false,2,true,598
208,k2_live,2,0,1,false,false,20,false,6421
209,k2_live,2,0,1,true,false,2,true,629
210,k2_live,2,0,1,false,false,6,true,1944
211,k2_live,2,0,1,false,false,2,true,702
212,k2_live,2,0,1,false,false,2,true,669
213,k2_live,2,0,1,true,true,2,true,651
214,k2_live,2,0,1,false,false,2,true,657
215,k2_live,2,0,1,false,false,2,true,576
216,k2_live,2,0,1,true,true,2,true,602
217,k2_live,2,0,1,false,false,2,true,591
218,k2_live,2,0,1,false,false,2,true,695
219,k2_live,2,0,1,false,false,2,true,615
220,k2_live,2,0,1,false,false,16,true,5258
221,k2_live,2,0,1,true,false,2,true,675
222,k2_live,2,0,1,false,false,9,true,3116
223,k2_live,2,0,1,false,false,2,true,631
224,k2_live,2,0,1,false,false,2,true,645
225,k2_live,2,0,1,true,true,2,true,651
226,k2_live,2,0,1,false,false,2,true,622
227,k2_live,2,0,1,false,false,2,true,571
228,k2_live,2,0,1,true,true,2,true,679
229,k2_live,2,0,1,false,false,2,true,646
230,k2_live,2,0,1,false,false,9,true,2924
231,k2_live,2,0,1,false,false,2,true,554
232,k2_live,2,0,1,false,false,8,true,2451
233,k2_live,2,0,1,true,false,4,true,1222
234,k2_live,2,0,1,false,false,9,true,2727
235,k2_live,2,0,1,false,false,2,true,644
236,k2_live,2,0,1,false,false,2,true,599
237,k2_live,2,0,1,true,true,2,true,572
238,k2_live,2,0,1,false,false,2,true,633
239,k2_live,2,0,1,false,false,2,true,607
0,k3_live,3,0,1,true,true,3,true,886
1,k3_live,3,0,1,false,false,3,true,855
2,k3_live,3,0,1,false,false,8,true,2289
3,k3_live,3,0,1,false,false,3,true,870
4,k3_live,3,0,1,false,false,14,true,3988
5,k3_live,3,0,1,true,true,13,true,3877
6,k3_live,3,0,1,false,false,19,true,5378
7,k3_live,3,0,1,false,false,3,true,912
8,k3_live,3,0,1,false,false,3,true,882
9,k3_live,3,0,1,true,true,3,true,887
10,k3_live,3,0,1,false,false,7,true,1982
11,k3_live,3,0,1,false,false,5,true,1519
12,k3_live,3,0,1,true,true,3,true,845
13,k3_live,3,0,1,false,false,3,true,837
14,k3_live,3,0,1,false,false,6,true,1918
15,k3_live,3,0,1,false,false,3,true,881
16,k3_live,3,0,1,false,false,19,true,6157
17,k3_live,3,0,1,true,true,5,true,1726
18,k3_live,3,0,1,false,false,8,true,2489
19,k3_live,3,0,1,false,false,3,true,855
20,k3_live,3,0,1,false,false,3,true,924
21,k3_live,3,0,1,true,true,3,true,877
22,k3_live,3,0,1,false,false,10,true,3065
23,k3_live,3,0,1,false,false,7,true,2152
24,k3_live,3,0,1,true,true,3,true,871
25,k3_live,3,0,1,false,false,3,true,814
26,k3_live,3,0,1,false,false,7,true,1955
27,k3_live,3,0,1,false,false,3,true,804
28,k3_live,3,0,1,false,false,15,true,4385
29,k3_live,3,0,1,true,false,9,true,2602
30,k3_live,3,0,1,false,false,20,true,5937
31,k3_live,3,0,1,false,false,3,true,895
32,k3_live,3,0,1,false,false,3,true,854
33,k3_live,3,0,1,true,true,3,true,902
34,k3_live,3,0,1,false,false,3,true,839
35,k3_live,3,0,1,false,false,3,true,892
36,k3_live,3,0,1,true,true,3,true,890
37,k3_live,3,0,1,false,false,3,true,816
38,k3_live,3,0,1,false,false,20,false,5733
39,k3_live,3,0,1,false,false,3,true,862
40,k3_live,3,0,1,false,false,20,false,5246
41,k3_live,3,0,1,true,false,11,true,3115
42,k3_live,3,0,1,false,false,6,true,1767
43,k3_live,3,0,1,false,false,3,true,882
44,k3_live,3,0,1,false,false,3,true,889
45,k3_live,3,0,1,true,true,3,true,920
46,k3_live,3,0,1,false,false,7,true,1998
47,k3_live,3,0,1,false,false,5,true,1477
48,k3_live,3,0,1,true,true,3,true,903
49,k3_live,3,0,1,false,false,3,true,830
50,k3_live,3,0,1,false,false,8,true,2308
51,k3_live,3,0,1,false,false,3,true,965
52,k3_live,3,0,1,false,false,20,false,5878
53,k3_live,3,0,1,true,true,20,true,5594
54,k3_live,3,0,1,false,false,3,true,940
55,k3_live,3,0,1,false,false,3,true,929
56,k3_live,3,0,1,false,false,3,true,907
57,k3_live,3,0,1,true,true,3,true,851
58,k3_live,3,0,1,false,false,3,true,880
59,k3_live,3,0,1,false,false,7,true,1929
60,k3_live,3,0,1,true,true,3,true,996
61,k3_live,3,0,1,false,false,3,true,798
62,k3_live,3,0,1,false,false,6,true,1681
63,k3_live,3,0,1,false,false,3,true,843
64,k3_live,3,0,1,false,false,20,false,5593
65,k3_live,3,0,1,true,false,5,true,1462
66,k3_live,3,0,1,false,false,6,true,1588
67,k3_live,3,0,1,false,false,3,true,907
68,k3_live,3,0,1,false,false,3,true,901
69,k3_live,3,0,1,true,true,3,true,844
70,k3_live,3,0,1,false,false,5,true,1375
71,k3_live,3,0,1,false,true,6,true,1601
72,k3_live,3,0,1,true,true,3,true,989
73,k3_live,3,0,1,false,false,5,true,1485
74,k3_live,3,0,1,false,false,3,true,931
75,k3_live,3,0,1,false,false,3,true,828
76,k3_live,3,0,1,false,false,20,false,5731
77,k3_live,3,0,1,true,false,3,true,908
78,k3_live,3,0,1,false,false,7,true,1821
79,k3_live,3,0,1,false,false,3,true,869
80,k3_live,3,0,1,false,false,3,true,837
81,k3_live,3,0,1,true,true,3,true,958
82,k3_live,3,0,1,false,false,5,true,1549
83,k3_live,3,0,1,false,false,3,true,859
84,k3_live,3,0,1,true,true,3,true,882
85,k3_live,3,0,1,false,false,3,true,793
86,k3_live,3,0,1,false,false,6,true,1636
87,k3_live,3,0,1,false,false,3,true,802
88,k3_live,3,0,1,false,false,7,true,2120
89,k3_live,3,0,1,false,false,12,true,3633
90,k3_live,3,0,1,false,false,20,false,5562
91,k3_live,3,0,1,false,false,3,true,894
92,k3_live,3,0,1,false,false,3,true,834
93,k3_live,3,0,1,true,true,3,true,926
